,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
117,N/A,N/A,cpb,N/A,N/A,N/A,N/A,N/A,291.63,26.43,2.10,11.91,7.93,14.67,8.87,42.24,25.82,16770000000.0,20690000000.0,18.28,3.92,2.58,13.98,2.58,2800000000.0,13.98,637000000.0,2.05,21.80,2.30,263000000.0,0.85,4110000000.0000005,0.81,4.56,1210000000.0,0.58,39.34,43.80,7160000.0,3.66,3.87,6420000.0,N/A
118,N/A,N/A,crm,N/A,N/A,N/A,N/A,N/A,43.45,N/A,7.46,9.90,1.39,0.36,0.14,2.05,9.64,46700000000.0,47720000000.0,71.04,3.06,7.57,119.35,7.57,4080000000.0,119.35,87680000.0,0.13,N/A,23.70,1360000000.0,2.05,2060000000.0,0.74,7.15,1490000000.0,1.19,6.27,88.00,43.00,2.82,1.73,9010000.0,N/A
119,N/A,N/A,csc,N/A,N/A,N/A,N/A,N/A,85.69,192.24,0.35,1.33,0.19,2.59,1.78,1.09,81.25,4060000000.0,4800000000.0,10.04,0.93,0.42,4.98,0.42,2640000000.0,4.98,22000000.0,0.15,10.60,11.90,1820000000.0,13.10,2610000000.0,1.32,21.79,1380000000.0,0.68,0.39,95.20,5090000.0,1.20,3.71,4580000.0,N/A
120,N/A,N/A,csco,N/A,N/A,N/A,N/A,N/A,41.05,12.18,2.44,2.02,19.32,23.53,6.76,16.42,9.73,1.1624e+11,86580000000.0,9.54,1.12,1.75,6.33,1.75,29680000000.0,6.33,9580000000.0,1.88,32.90,3.60,59110000000.0,11.64,24620000000.0,3.35,11.80,12830000000.0,1.06,0.11,77.00,39160000.0,1.69,0.77,38860000.0,N/A
121,N/A,N/A,csx,N/A,N/A,N/A,N/A,N/A,91.73,11.15,1.87,1.90,16.66,30.35,6.58,17.23,12.00,21730000000.0,31380000000.0,10.72,2.52,2.66,6.55,2.66,8570000000.0,6.55,1970000000.0,2.00,5.10,12.90,1440000000.0,1.48,10700000000.0,1.52,11.99,3370000000.0,1.23,0.35,71.10,14200000.0,1.56,1.44,10830000.0,N/A
122,N/A,N/A,ctas,N/A,N/A,N/A,N/A,N/A,67.55,14.65,1.93,4.69,13.82,15.79,10.07,20.36,41.62,8900000000.0,9660000000.0,18.80,1.71,2.07,10.79,2.07,1920000000.0,10.79,414550000.0,5.62,186.60,8.50,672610000.0,6.22,1300000000.0,1.81,17.80,552740000.0,0.71,18.18,71.80,4570000.0,8.42,4.92,4700000.0,N/A
123,N/A,N/A,ctl,N/A,N/A,N/A,N/A,N/A,143.26,17.11,0.71,0.90,4.08,14.25,3.20,4.74,31.89,12210000000.0,32810000000.0,9.42,5.91,1.84,4.92,1.84,10180000000.0,4.92,728000000.0,1.30,9.00,0.90,355000000.0,0.65,20410000000.0,0.60,25.72,5210000000.0,1.18,0.48,76.50,36250000.0,7.12,7.24,35230000.0,N/A
124,N/A,N/A,ctsh,N/A,N/A,N/A,N/A,N/A,10.76,23.24,3.06,4.13,13.11,17.34,12.03,19.29,19.57,36030000000.0,33350000000.0,17.03,1.22,2.80,14.05,2.80,4120000000.0,14.05,1560000000.0,2.55,11.70,23.50,4050000000.0,6.66,950000000.0,3.40,14.52,1790000000.0,1.15,0.45,91.60,7820000.0,2.15,1.29,8210000.000000001,N/A
125,N/A,N/A,ctxs,N/A,N/A,N/A,N/A,N/A,63.17,38.11,3.15,4.98,8.79,16.94,6.41,13.55,20.05,10230000000.0,10410000000.0,14.88,1.08,3.23,13.08,3.23,2520000000.0,13.08,283320000.0,1.75,17.70,7.20,1070000000.0000001,6.97,1320000000.0,1.12,13.27,943240000.0,1.33,6.57,95.60,7850000.0,5.01,4.89,7840000.0,N/A
126,N/A,N/A,cvc,N/A,N/A,N/A,N/A,N/A,N/A,43.47,1.33,N/A,3.06,13.60,8.32,N/A,24.25,8670000000.0,17430000000.0,37.31,39.55,2.68,9.95,2.68,3320000000.0,9.95,210390000.0,0.72,67.70,0.80,872640000.0,3.15,9630000000.0,1.02,17.92,1270000000.0,0.46,15.99,80.20,9510000.0,2.51,4.93,11620000.0,N/A
127,N/A,N/A,cvs,N/A,N/A,N/A,N/A,N/A,73.22,21.24,0.70,2.83,3.39,6.16,6.92,13.42,132.36,1.0447e+11,1.2993e+11,16.14,1.28,0.87,11.62,0.87,25370000000.0,11.62,5030000000.0,4.43,31.40,10.30,3010000000.0,2.71,27220000000.0,1.44,33.49,8260000000.0,1.06,0.23,85.10,16160000.0,3.05,1.43,18730000.0,N/A
128,N/A,N/A,cvx,N/A,N/A,N/A,N/A,N/A,23.01,17.15,1.12,0.99,6.34,0.83,0.26,5.58,72.97,1.4864e+11,1.7604e+11,30.73,1.09,1.29,8.14,1.29,55540000000.0,8.14,8650000000.0,4.61,63.60,37.70,13240000000.0,7.03,35880000000.0,1.32,82.31,21400000000.0,1.25,0.04,62.60,26140000.0,2.20,1.39,26550000.0,N/A
129,N/A,N/A,d,N/A,N/A,N/A,N/A,N/A,207.46,22.80,3.45,3.30,14.79,30.30,4.20,14.54,20.47,40920000000.0,68910000000.0,17.85,3.47,5.71,13.01,5.71,4560000000.0,13.01,1780000000.0,3.01,12.10,2.60,249000000.0,0.42,27540000000.0,0.61,21.15,4480000000.0,0.34,0.39,61.30,12460000.0,5.05,2.13,12290000.0,N/A
130,N/A,N/A,dal,N/A,N/A,N/A,N/A,N/A,85.10,13.15,0.89,3.50,6.94,14.97,7.24,25.03,50.54,35930000000.0,41210000000.0,6.55,0.26,1.01,5.28,1.01,17400000000.0,5.28,2830000000.0,3.47,268.30,0.60,3820000000.0,4.84,8800000000.0,0.68,13.13,7030000000.0,1.27,0.28,89.50,15050000.0,1.69,1.85,15060000.0,N/A
131,N/A,N/A,dd,N/A,N/A,N/A,N/A,N/A,88.54,16.68,1.45,4.33,8.98,12.38,5.64,23.37,35.69,46270000000.0,53090000000.0,16.55,6.16,1.65,9.61,1.65,13020000000.0,9.61,3160000000.0,3.17,45.70,17.50,3730000000.0,4.26,9940000000.0,2.04,12.29,3670000000.0,1.77,0.14,68.70,11530000.0,1.60,1.27,13540000.0,N/A
132,N/A,N/A,dds,N/A,N/A,N/A,N/A,N/A,52.37,8.28,0.34,1.28,4.63,7.84,7.64,17.00,169.57,2390000000.0,3170000000.0,8.82,1.94,0.47,4.03,0.47,2510000000.0,4.03,315760000.0,7.85,17.20,1.80,100110000.0,2.73,951550000.0,1.62,49.49,484980000.0,1.52,11.73,94.10,4620000.0,9.06,19.37,4270000.0,N/A
133,N/A,N/A,de,N/A,N/A,N/A,N/A,N/A,546.19,12.48,0.80,3.40,6.73,9.21,2.78,24.53,86.39,22770000000.0,56530000000.0,16.33,1.25,1.96,14.37,1.96,8720000000.0,14.37,1940000000.0,5.77,45.90,25.10,3330000000.0,10.50,36910000000.0,2.09,21.29,3740000000.0,0.98,9.36,74.10,40940000.0,12.58,12.96,37470000.0,N/A
134,N/A,N/A,df,N/A,N/A,N/A,N/A,N/A,156.84,N/A,0.20,3.11,0.26,2.22,4.46,3.56,90.42,1670000000.0,2450000000.0,14.78,2.50,0.29,6.76,0.29,1670000000.0,6.76,21190000.0,0.24,N/A,14.30,63770000.0,0.70,840770000.0,1.41,5.87,426900000.0,1.38,1.18,105.40,18580000.0,13.74,19.98,18150000.0,N/A
135,N/A,N/A,dfs,N/A,N/A,N/A,N/A,N/A,211.17,10.07,2.95,1.96,31.07,52.03,2.65,19.47,16.00,20840000000.0,34480000000.0,8.57,1.19,4.87,N/A,4.87,N/A,N/A,2150000000.0,4.84,5.00,1.30,10300000000.0,24.09,23870000000.0,1.56,25.01,3810000000.0,1.31,0.84,85.50,6710000.0,2.06,1.52,7560000.0,N/A
136,N/A,N/A,dg,N/A,N/A,N/A,N/A,N/A,58.14,18.35,1.02,3.83,5.72,9.53,10.76,21.41,67.18,20430000000.0,23390000000.0,15.64,1.25,1.17,10.36,1.17,5800000000.0,10.36,1140000000.0,3.83,7.20,7.30,182510000.0,0.63,3110000000.0,1.75,18.37,1250000000.0,0.79,5.30,91.90,8080000.0,2.34,2.66,7620000.0,N/A
137,N/A,N/A,dgx,N/A,N/A,N/A,N/A,N/A,79.55,13.31,1.25,2.05,9.45,15.68,7.42,16.81,51.91,9320000000.0,12990000000.0,12.80,1.51,1.73,8.73,1.73,2800000000.0,8.73,703000000.0,4.88,165.10,1.30,123000000.0,0.86,3730000000.0,1.46,31.87,842000000.0,0.41,0.34,96.90,7810000.0,7.40,6.06,7370000.0,N/A
138,N/A,N/A,dhi,N/A,N/A,N/A,N/A,N/A,64.65,13.04,0.92,1.68,6.94,10.86,6.88,13.63,29.55,9780000000.0,12380000000.0,10.03,0.64,1.14,10.08,1.14,2290000000.0,10.08,750700000.0,2.03,43.70,28.30,1360000000.0,3.68,3810000000.0,5.31,15.99,700400000.0,1.01,9.63,85.30,32110000.0,9.13,9.59,33970000.0,N/A
139,N/A,N/A,dhr,N/A,N/A,N/A,N/A,N/A,64.75,18.20,2.84,2.54,16.12,17.69,5.36,10.93,29.41,58250000000.0,71850000000.0,17.31,1.85,3.48,15.40,3.48,10440000000.0,15.40,2570000000.0,4.67,106.20,6.70,1830000000.0,2.68,15010000000.0,1.03,33.73,3810000000.0,1.06,12.81,84.30,9190000.0,3.25,1.69,9460000.0,N/A
140,N/A,N/A,dis,N/A,N/A,N/A,N/A,N/A,35.63,18.89,2.96,3.51,15.98,25.33,9.64,18.28,30.97,1.5299e+11,1.6842e+11,14.88,1.35,3.21,10.77,3.21,24100000000.0,10.77,8380000000.0,4.90,7.30,9.10,4269999999.9999995,2.58,17340000000.0,1.03,26.81,10910000000.0,1.52,7.82,63.30,49790000.0,4.66,2.94,58390000.0,N/A
141,N/A,N/A,disca,N/A,N/A,N/A,N/A,N/A,119.90,15.78,1.80,2.95,16.58,33.55,8.34,16.84,12.35,14790000000.0,18260000000.0,13.16,2.00,2.84,7.35,2.84,4139999999.9999995,7.35,1060000000.0,1.62,0.40,0.70,406000000.0,0.91,7060000000.0,1.29,8.73,1080000000.0,1.82,1.57,115.20,15890000.0,5.03,10.84,17660000.0,N/A
142,N/A,N/A,dks,N/A,N/A,N/A,N/A,N/A,20.22,11.97,0.55,2.26,4.96,8.15,9.49,21.07,61.72,4150000000.0,4230000000.0,11.08,1.04,0.59,5.48,0.59,2089999999.9999998,5.48,356930000.0,3.02,4.10,7.60,73800000.0,0.64,348450000.0,1.64,15.22,619090000.0,0.63,1.63,91.00,6930000.0,3.52,7.54,6970000.0,N/A
143,N/A,N/A,dlph,N/A,N/A,N/A,N/A,N/A,112.55,11.92,1.14,8.16,9.66,12.29,11.74,47.42,57.42,18410000000.0,21550000000.0,10.57,1.01,1.30,8.26,1.30,3170000000.0,8.26,1380000000.0,5.51,32.50,3.50,434000000.0,1.55,3120000000.0,1.25,8.25,1880000000.0,0.99,0.48,96.60,4910000.0,2.81,1.69,5030000.0,N/A
144,N/A,N/A,dltr,N/A,N/A,N/A,N/A,N/A,201.43,63.36,1.43,4.36,2.06,8.99,7.06,9.08,58.58,17850000000.0,25290000000.0,20.11,1.98,2.01,16.86,2.01,3030000000.0,16.86,259900000.0,1.20,38.40,136.00,1110000000.0,4.73,8340000000.0,2.14,17.64,487800000.0,0.58,3.53,87.40,12170000.0,4.54,6.15,13370000.0,N/A
145,N/A,N/A,dlx,N/A,N/A,N/A,N/A,N/A,72.40,11.88,1.43,3.50,12.34,20.39,13.32,32.76,35.44,2520000000.0,2980000000.0,10.63,1.42,1.69,7.52,1.69,1070000000.0000001,7.52,215500000.0,4.31,28.10,6.40,64569999.99999999,1.31,521330000.00000006,0.51,14.63,294950000.0,1.52,1.23,91.00,5440000.0,17.77,12.50,5360000.0,N/A
146,N/A,N/A,dnb,N/A,N/A,N/A,N/A,N/A,N/A,19.21,2.04,N/A,10.81,23.53,12.92,N/A,47.17,3520000000.0,4930000000.0,12.83,2.37,2.90,11.58,2.90,1680000000.0,11.58,227600000.0,5.06,12.60,3.90,293900000.0,8.13,1760000000.0,0.89,32.02,328700000.0,1.45,0.34,94.50,1100000.0,6.31,3.51,973.82,N/A
147,N/A,N/A,dnr,N/A,N/A,N/A,N/A,N/A,157.16,N/A,0.26,0.18,215.10,45.33,4.24,83.80,4.17,375220000.0,3730000000.0,N/A,0.06,2.56,3.01,2.56,1770000000.0,3.01,3140000000.0,8.97,N/A,52.70,12210000.0,0.04,3360000000.0,1.18,6.10,1040000000.0,2.56,1.90,112.30,54870000.0,4.17,15.67,68260000.0,N/A
148,N/A,N/A,do,N/A,N/A,N/A,N/A,N/A,56.85,30.49,0.89,0.51,2.81,23.30,4.56,1.58,18.16,2130000000.0,4550000000.0,22.87,0.20,1.83,4.17,1.83,2740000000.0,4.17,69940000.0,0.51,159.10,17.70,154750000.0,1.13,2490000000.0,0.95,31.91,776670000.0,1.07,53.34,48.20,13500000.0,5.66,21.01,13260000.0,N/A
149,N/A,N/A,dov,N/A,N/A,N/A,N/A,N/A,75.32,9.47,1.14,2.31,12.39,14.70,7.63,16.86,45.24,8160000000.0,10270000000.0,13.78,3.04,1.42,7.44,1.42,2970000000.0,7.44,631140000.0,5.56,19.70,11.00,662670000.0,4.28,2690000000.0,1.69,23.01,965540000.0,1.31,0.86,92.40,7040000.0,4.21,4.45,7530000.0,N/A
150,N/A,N/A,dow,N/A,N/A,N/A,N/A,N/A,78.14,10.62,0.94,2.40,9.46,11.80,5.47,19.13,45.33,47870000000.0,61130000000.0,11.84,1.63,1.18,7.08,1.18,10700000000.0,7.08,4520000000.0,3.89,46.70,16.40,7360000000.0,6.36,19750000000.0,1.88,17.55,7930000000.0,1.08,0.02,70.00,19330000.0,1.30,1.68,30000000.0,N/A
151,N/A,N/A,dps,N/A,N/A,N/A,N/A,N/A,120.53,23.96,2.74,7.81,11.67,19.70,9.33,31.97,32.49,17040000000.0,19560000000.0,20.84,3.14,3.13,13.57,3.13,3630000000.0,13.57,729000000.0,3.77,7.40,3.00,216000000.0,1.14,2650000000.0,0.77,11.62,976000000.0,0.76,0.30,94.60,7210000.0,5.73,3.76,6980000.0,N/A
152,N/A,N/A,dri,N/A,N/A,N/A,N/A,N/A,60.25,20.94,1.13,3.92,5.34,8.24,6.49,17.46,54.56,7650000000.0,8140000000.0,15.74,1.23,1.18,9.32,1.18,1420000000.0,9.32,357600000.0,2.85,N/A,3.20,857600000.0,6.69,1200000000.0,0.76,15.52,655700000.0,0.17,9.90,83.30,10200000.0,5.25,8.80,9500000.0,N/A
153,N/A,N/A,dsw,N/A,N/A,N/A,N/A,N/A,N/A,13.25,0.76,1.92,5.99,9.46,10.52,15.33,29.33,1990000000.0,1880000000.0,14.30,4.59,0.73,5.94,0.73,755020000.0,5.94,155130000.0,1.74,20.70,0.60,90020000.0,1.04,0.00,2.36,11.87,210860000.0,0.79,8.81,95.60,9000000.0,4.61,12.28,10430000.0,N/A
154,N/A,N/A,dte,N/A,N/A,N/A,N/A,N/A,107.65,15.17,1.35,1.67,8.66,15.14,3.76,11.09,61.22,14390000000.0,24200000000.0,16.20,3.30,2.22,9.50,2.22,3080000000.0,9.50,945000000.0,5.29,69.90,0.10,67000000.0,0.37,9510000000.0,1.19,49.10,2009999999.9999998,0.31,0.46,65.10,2420000.0,2.17,1.36,1890000.0,N/A
155,N/A,N/A,duk,N/A,N/A,N/A,N/A,N/A,107.07,20.56,2.16,1.26,10.45,23.34,2.83,5.95,33.35,49160000000.0,91670000000.0,15.26,4.99,3.93,10.20,3.93,9600000000.0,10.20,2400000000.0,3.47,26.80,1.30,1380000000.0,2.00,42690000000.0,0.97,57.90,6820000000.0,0.29,0.07,56.10,8140000.000000001,2.42,1.15,8980000.0,N/A
156,N/A,N/A,dva,N/A,N/A,N/A,N/A,N/A,151.04,29.46,1.02,2.78,3.57,13.69,6.28,10.72,63.71,13800000000.0,21090000000.0,16.07,1.41,1.56,8.48,1.56,3680000000.0,8.48,483750000.0,2.22,17.20,8.50,1970000000.0,9.34,9200000000.0,1.97,23.65,1050000000.0,0.69,1.49,85.70,2600000.0,1.40,1.50,2870000.0,N/A
157,N/A,N/A,dvn,N/A,N/A,N/A,N/A,N/A,74.93,N/A,0.70,0.84,74.49,18.62,3.79,49.99,34.12,8870000000.0,19790000000.0,N/A,3.08,1.43,3.32,1.43,17230000000.0,3.32,10330000000.0,25.41,N/A,30.50,1790000000.0,4.35,11930000000.0,1.23,28.10,5260000000.0,1.60,5.84,79.10,11640000.0,1.52,2.85,9930000.0,N/A
158,N/A,N/A,ea,N/A,N/A,N/A,N/A,N/A,13.83,26.44,4.84,6.66,19.38,22.04,9.91,28.85,13.94,20780000000.0,18790000000.0,18.73,1.24,4.34,16.52,4.34,3090000000.0,16.52,839000000.0,2.53,N/A,17.70,2590000000.0,8.33,435000000.0,1.44,10.12,818000000.0,12.81,0.66,104.40,20940000.0,5.67,6.97,20790000.0,N/A
159,N/A,N/A,ebay,N/A,N/A,N/A,N/A,N/A,114.59,14.04,1.75,4.77,12.83,19.21,6.77,23.30,14.54,31000000000.0,33080000000.0,13.11,2.01,1.87,6.77,1.87,12170000000.0,6.77,3060000000.0,1.84,19.90,2.40,5300000000.0,4.42,7440000000.0,1.87,5.40,4630000000.0,1.12,7.31,82.90,22690000.0,2.43,2.04,24680000.0,N/A
160,N/A,N/A,ecl,N/A,N/A,N/A,N/A,N/A,98.83,27.45,2.19,4.46,8.17,14.88,6.66,15.57,46.45,30250000000.0,36810000000.0,21.57,1.93,2.67,12.60,2.67,6600000000.0,12.60,1130000000.0,3.73,29.40,6.70,184800000.0,0.63,6760000000.0,1.31,22.97,2069999999.9999998,1.04,9.89,79.20,6580000.0,6.07,2.50,5820000.0,N/A
161,N/A,N/A,ecyt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,690.99,0.66,N/A,797.07,10.72,20.28,0.00,122990000.0,53760000.0,N/A,N/A,767.95,1.58,767.95,70350000.0,1.58,39560000.0,0.95,N/A,99.20,172130000.0,4.10,0.00,32.27,4.27,30280000.0,1.81,18.86,39.50,4059999.9999999995,14.90,12.53,3900000.0,N/A
162,N/A,N/A,ed,N/A,N/A,N/A,N/A,N/A,103.01,18.30,1.60,1.55,8.67,17.97,3.33,8.53,43.27,20010000000.0,33600000000.0,16.77,5.84,2.65,9.90,2.65,5110000000.0,9.90,1100000000.0,3.73,1.80,1.60,91000000.0,0.31,13440000000.0,0.79,44.49,3280000000.0,0.13,0.17,54.50,12010000.0,6.67,4.10,14430000.0,N/A
163,N/A,N/A,efx,N/A,N/A,N/A,N/A,N/A,58.77,29.72,4.69,5.51,15.84,27.11,9.61,18.14,22.03,12050000000.0,13530000000.0,20.58,2.09,5.16,14.83,5.16,1590000000.0,14.83,415200000.0,3.42,27.20,8.80,108500000.0,0.92,1330000000.0,0.84,18.83,739600000.0,0.94,0.81,89.00,3080000.0,4.71,2.90,2640000.0,N/A
164,N/A,N/A,eix,N/A,N/A,N/A,N/A,N/A,91.01,12.79,1.59,1.69,12.35,18.74,2.86,10.79,37.72,19230000000.0,32770000000.0,15.65,31.18,2.67,8.10,2.67,4670000000.0,8.10,1440000000.0,4.61,12.30,13.60,134000000.0,0.41,12410000000.0,0.72,35.60,4050000000.0,0.31,0.21,83.30,3150000.0,1.47,0.97,3840000.0,N/A
165,N/A,N/A,el,N/A,N/A,N/A,N/A,N/A,59.00,27.19,2.82,8.91,10.65,15.40,13.14,32.21,29.14,30620000000.0,31950000000.0,22.97,2.09,2.91,15.22,2.91,8680000000.0,15.22,1170000000.0,3.05,35.60,7.70,1090000000.0,2.95,2069999999.9999998,1.79,9.42,1820000000.0,0.83,1.45,95.10,9780000.0,5.47,5.00,9180000.0,N/A
166,N/A,N/A,emc,N/A,N/A,N/A,N/A,N/A,33.91,20.26,1.91,2.31,9.56,15.24,5.21,11.04,12.61,46750000000.0,47010000000.0,12.43,1.35,1.90,9.03,1.90,15250000000.0,9.03,2360000000.0,1.19,18.20,0.80,7640000000.0,3.94,7440000000.0,1.12,10.54,5750000000.0,1.03,0.46,84.00,10560000.0,0.97,0.54,11860000.0,N/A
167,N/A,N/A,emn,N/A,N/A,N/A,N/A,N/A,184.88,12.31,0.93,2.35,7.57,17.77,7.75,18.80,65.76,9030000000.0,16100000000.0,8.01,1.23,1.65,7.06,1.65,2220000000.0,7.06,740000000.0,4.94,21.90,1.40,309000000.0,2.08,7310000000.0,1.77,26.09,1510000000.0,1.43,0.68,85.50,3340000.0,3.00,2.25,2810000.0,N/A
168,N/A,N/A,emr,N/A,N/A,N/A,N/A,N/A,84.18,10.69,1.27,3.49,12.15,15.89,9.57,29.88,33.13,27770000000.0,31930000000.0,12.69,2.52,1.43,7.49,1.43,9050000000.0,7.49,2710000000.0,3.99,58.00,14.60,3150000000.0,4.82,6840000000.0,1.29,12.35,2530000000.0,1.17,0.62,72.90,23730000.0,4.60,3.67,25370000.0,N/A
169,N/A,N/A,eog,N/A,N/A,N/A,N/A,N/A,48.41,N/A,3.23,2.52,36.59,53.57,11.24,24.49,19.02,33120000000.0,39210000000.0,N/A,29.07,3.78,7.87,3.78,15500000000.0,7.87,3800000000.0,6.96,N/A,53.30,742690000.0,1.35,6430000000.0,1.38,24.17,5090000000.0,1.00,0.61,89.50,10960000.0,2.34,2.01,12300000.0,N/A
170,N/A,N/A,eqr,N/A,N/A,N/A,N/A,N/A,96.23,31.79,10.66,2.76,32.64,35.93,2.64,8.23,7.46,27830000000.0,39810000000.0,23.51,5.38,14.71,22.70,14.71,1730000000.0,22.70,876560000.0,2.40,11.30,4.90,47120000.0,0.13,10800000000.0,0.31,28.67,1370000000.0,0.10,1.74,98.10,3190000.0,1.91,0.98,3280000.0,N/A
171,N/A,N/A,eqt,N/A,N/A,N/A,N/A,N/A,42.93,41.14,3.70,1.57,9.33,39.53,4.26,5.96,14.44,8460000000.0,9790000000.0,N/A,4.09,4.46,5.89,4.46,2029999999.9999998,5.89,205450000.0,1.35,58.60,27.90,1660000000.0,10.90,3330000000.0,2.28,33.90,1170000000.0,0.98,9.52,70.80,7380000.0,3.24,5.82,6740000.0,N/A
172,N/A,N/A,esrx,N/A,N/A,N/A,N/A,N/A,94.81,22.31,0.48,2.96,2.24,4.76,5.75,12.58,145.08,48490000000.0,64200000000.0,11.62,0.99,0.63,9.27,0.63,7930000000.0,9.27,2280000000.0,3.21,13.60,2.20,438200000.0,0.65,15690000000.0,0.64,24.46,4900000000.0,0.69,0.25,98.10,28970000.0,7.92,3.99,31430000.0,N/A
173,N/A,N/A,esv,N/A,N/A,N/A,N/A,N/A,65.43,N/A,0.50,0.25,58.59,39.77,6.03,20.53,18.93,2320000000.0,7030000000.0,4.32,0.08,1.60,3.04,1.60,2490000000.0,3.04,2170000000.0,11.15,32.00,15.70,1090000000.0,4.63,5900000000.0,3.00,38.26,1790000000.0,3.98,0.46,88.90,24440000.0,4.07,10.48,23730000.0,N/A
174,N/A,N/A,etfc,N/A,N/A,N/A,N/A,N/A,55.25,32.44,3.96,1.24,12.08,35.20,0.51,3.97,6.28,7130000000.0,8730000000.0,15.30,1.15,4.79,N/A,4.79,1660000000.0,N/A,220000000.0,0.75,N/A,8.80,1690000000.0,5.83,3210000000.0,1.49,20.01,1000000000.0,1.24,0.19,95.20,5080000.0,1.65,1.76,5570000.0,N/A
175,N/A,N/A,etn,N/A,N/A,N/A,N/A,N/A,56.26,10.98,1.04,1.45,9.49,11.53,4.64,12.68,45.69,21990000000.0,30360000000.0,11.10,2.18,1.42,8.94,1.42,6910000000.0,8.94,2030000000.0,4.33,25.90,9.20,568000000.0,1.23,8670000000.0,1.49,33.20,2570000000.0,1.51,0.30,76.50,6440000.0,1.63,1.38,6520000.0,N/A
176,N/A,N/A,etr,N/A,N/A,N/A,N/A,N/A,150.98,N/A,1.04,1.34,1.32,16.34,2.70,1.57,65.89,11870000000.0,25700000000.0,13.37,4.76,2.17,6.74,2.17,4370000000.0,6.74,156010000.0,0.87,N/A,2.50,1040000000.0,5.83,14140000000.0,1.19,51.33,3350000000.0,0.54,0.17,87.20,3570000.0,2.46,1.98,2930000.0,N/A
177,N/A,N/A,ew,N/A,N/A,N/A,N/A,N/A,24.98,35.74,6.59,6.63,18.99,25.39,10.72,20.76,11.34,16280000000.0,15430000000.0,31.45,2.13,6.32,22.38,6.32,1700000000.0,22.38,463400000.0,2.11,24.80,1.30,1250000000.0,5.80,604900000.0,4.03,11.24,539100000.0,0.53,0.78,86.90,3200000.0,1.96,1.49,2250000.0,N/A
178,N/A,N/A,exc,N/A,N/A,N/A,N/A,N/A,98.07,11.89,0.85,0.99,6.59,14.96,3.11,7.85,34.32,24630000000.0,44910000000.0,10.63,2.83,1.50,5.44,1.50,5860000000.0,5.44,1980000000.0,2.25,36.70,7.10,7260000000.0,7.90,26760000000.0,2.15,28.02,6490000000.0,0.22,0.22,84.80,21250000.0,2.79,2.47,18580000.0,N/A
179,N/A,N/A,expd,N/A,N/A,N/A,N/A,N/A,N/A,18.74,1.18,4.35,6.51,10.33,15.24,23.77,35.58,8070000000.0,7030000000.0,17.31,1.66,1.03,9.40,1.03,1980000000.0,9.40,442150000.0,2.31,15.60,3.20,976940000.0,5.24,0.00,2.34,9.88,538330000.0,0.71,0.89,93.50,11940000.0,6.04,6.30,13250000.0,N/A
180,N/A,N/A,expe,N/A,N/A,N/A,N/A,N/A,80.54,16.67,2.16,5.60,13.32,7.45,2.70,28.30,49.25,15970000000.0,14660000000.0,18.11,1.44,2.32,20.86,2.32,4580000000.0,20.86,842970000.0,6.37,10.20,13.20,1490000000.0,11.48,2480000000.0,0.53,18.81,1340000000.0,0.95,14.45,90.50,10220000.0,4.31,10.37,14940000.0,N/A
181,N/A,N/A,expr,N/A,N/A,N/A,N/A,N/A,11.53,13.77,0.60,2.27,4.42,8.51,9.93,18.28,27.38,1360000000.0,1350000000.0,10.53,1.14,0.59,5.03,0.59,660950000.0,5.03,102190000.0,1.21,80.40,9.80,91210000.0,1.08,69900000.0,1.60,7.20,214200000.0,1.18,12.83,90.70,8560000.0,3.76,10.52,8480000.0,N/A
182,N/A,N/A,f,N/A,N/A,N/A,N/A,N/A,458.43,9.96,0.33,1.73,3.29,4.09,1.73,17.64,36.74,47230000000.0,1.5167e+11,6.13,0.41,1.05,11.44,1.05,17860000000.0,11.44,4770000000.0,1.20,128.60,9.20,22180000000.0,5.59,126420000000.0,1.79,6.92,16250000000.0,1.18,0.31,60.00,89130000.0,3.33,2.54,82450000.0,N/A
183,N/A,N/A,fast,N/A,N/A,N/A,N/A,N/A,20.26,20.64,2.75,5.91,13.35,21.38,21.14,27.79,13.28,10580000000.0,10880000000.0,18.64,1.90,2.81,11.91,2.81,1900000000.0,11.91,516360000.0,1.77,5.50,0.40,129020000.00000001,0.45,365000000.0,4.46,6.22,546940000.0,1.06,4.71,87.80,40910000.0,16.71,13.93,40980000.0,N/A
184,N/A,N/A,fb,N/A,N/A,N/A,N/A,N/A,0.30,94.73,16.90,6.47,17.74,30.24,8.53,9.03,5.72,2.6682e+11,2.5369e+11,32.76,1.43,15.92,38.12,15.92,10310000000.0,38.12,2810000000.0,1.00,11.20,40.50,15830000000.0,5.60,126000000.0,10.68,14.72,7360000000.0,0.93,4.04,68.60,21420000.0,1.07,0.99,27450000.0,N/A
