,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
69,N/A,N/A,bms,N/A,N/A,N/A,N/A,N/A,104.56,17.84,1.02,3.41,5.83,10.19,7.06,17.07,42.48,4200000000.0,5460000000.0,16.08,2.16,1.32,9.57,1.32,859100000.0,9.57,242300000.0,2.45,267.60,7.30,78600000.0,0.82,1300000000.0,2.16,12.95,468600000.0,1.25,1.05,75.80,4059999.9999999995,6.54,4.21,4550000.0,N/A
70,N/A,N/A,bmy,N/A,N/A,N/A,N/A,N/A,47.69,59.84,6.38,6.99,10.74,22.61,7.16,12.12,9.93,1.0602e+11,1.0732e+11,27.75,1.76,6.49,24.04,6.49,11950000000.0,24.04,1780000000.0,1.06,2.10,3.80,5410000000.0,3.25,7280000000.0,1.81,9.04,1790000000.0,1.04,0.11,73.50,24290000.0,4.69,1.46,23570000.0,N/A
71,N/A,N/A,brcm,N/A,N/A,N/A,N/A,N/A,15.96,23.64,3.80,3.23,16.67,19.80,8.25,15.19,14.09,33000000000.0,30380000000.0,18.25,2.73,3.58,15.30,3.58,4330000000.0,15.30,1410000000.0,2.29,337.80,3.20,3460000000.0,5.69,1590000000.0,3.60,16.40,1890000000.0,0.19,0.06,87.60,5720000.0,1.05,1.02,5190000.0,N/A
72,N/A,N/A,brk-b,N/A,N/A,N/A,N/A,N/A,33.79,13.52,0.00,0.00,11.58,18.59,4.30,9.39,637.73,3.0771e+11,24260000000.0,N/A,N/A,0.12,0.55,0.12,N/A,0.55,22760000000.0,9.23,104.20,1.70,60860000000.0,031.76,84910000000.0,1.05,044.77,32009999999.999996,0.00,N/A,N/A,9770000.0,3.20,0.90,10210000.0,N/A
73,N/A,N/A,bsx,N/A,N/A,N/A,N/A,N/A,91.40,N/A,3.23,3.69,5.41,14.32,3.75,6.04,5.47,23590000000.0,29140000000.0,16.70,1.51,3.99,16.20,3.99,5170000000.0,16.20,396000000.0,0.30,N/A,2.30,350000000.0,0.26,5860000000.0,1.55,4.77,711000000.0,1.03,0.80,91.60,27330000.0,3.63,2.42,27780000.0,N/A
74,N/A,N/A,btu,N/A,N/A,N/A,N/A,N/A,480.91,N/A,0.01,0.05,34.62,0.96,0.28,73.18,327.13,62650000.0,6030000000.0,N/A,0.00,1.02,11.05,1.02,1080000000.0,11.05,1800000000.0,113.26,N/A,18.90,334300000.0,18.07,6300000000.0,1.02,70.56,4099999.9999999995,0.83,0.56,83.10,6410000.0,6.57,34.74,7150000.0,N/A
75,N/A,N/A,bwa,N/A,N/A,N/A,N/A,N/A,47.76,10.96,0.86,1.83,7.91,12.92,8.52,17.35,34.98,6750000000.0,7580000000.0,8.89,1.09,0.96,5.66,0.96,1760000000.0,5.66,624300000.0,2.75,5.50,7.30,1030000000.0,4.61,1810000000.0,2.14,16.58,725800000.0,1.26,0.43,96.60,11390000.0,7.30,5.05,10510000.0,N/A
76,N/A,N/A,bxp,N/A,N/A,N/A,N/A,N/A,123.13,29.26,7.32,3.24,24.77,34.77,2.87,11.10,16.32,17790000000.0,26870000000.0,20.29,3.39,10.74,17.82,10.74,1530000000.0,17.82,608980000.0,3.96,43.20,1.50,1390000000.0,9.03,9930000000.0,4.12,36.80,834750000.0,0.22,0.63,97.90,1910000.0,2.53,1.59,1630000.0,N/A
77,N/A,N/A,c,N/A,N/A,N/A,N/A,N/A,N/A,7.50,1.79,0.60,24.90,35.85,0.97,7.99,23.05,1.1958e+11,90630000000.0,6.85,0.23,1.31,N/A,1.31,69270000000.0,N/A,16300000000.0,5.40,852.90,1.70,602730000000.0,204.09,368850000000.0,N/A,69.46,N/A,1.45,0.11,74.60,34850000.0,2.14,1.15,32970000.0,N/A
78,N/A,N/A,ca,N/A,N/A,N/A,N/A,N/A,31.50,15.03,2.80,1.99,18.53,28.54,6.56,12.97,9.37,10760000000.0,10790000000.0,10.37,3.92,2.63,8.39,2.63,3350000000.0,8.39,734000000.0,1.72,32.00,6.90,2460000000.0,5.60,1800000000.0,1.34,13.13,1010000000.0,0.79,28.65,69.10,12760000.0,4.14,4.03,12000000.0,N/A
79,N/A,N/A,cab,N/A,N/A,N/A,N/A,N/A,237.05,15.38,0.75,1.61,4.89,8.15,2.58,10.65,54.56,2820000000.0,7160000000.0,12.69,1.34,1.85,16.15,1.85,1590000000.0,16.15,189150000.0,2.64,18.80,4.60,38600000.0,0.56,4290000000.0,3.77,26.05,311800000.0,0.17,27.62,82.50,8870000.0,10.54,17.54,9360000.0,N/A
80,N/A,N/A,cag,N/A,N/A,N/A,N/A,N/A,222.78,N/A,1.07,4.91,11.03,10.89,6.07,12.76,36.81,16800000000.0,24680000000.0,16.13,2.55,1.56,10.85,1.56,3310000000.0,10.85,600800000.0,4.06,449.00,1.40,95900000.0,0.22,7910000000.0,0.99,7.91,1380000000.0,0.30,3.04,74.40,6040000.0,1.93,1.40,7410000.0,N/A
81,N/A,N/A,cah,N/A,N/A,N/A,N/A,N/A,83.50,20.12,0.25,4.13,1.25,2.22,5.19,20.62,322.78,26410000000.0,29410000000.0,13.38,1.16,0.28,10.35,0.28,5710000000.0,10.35,1330000000.0,3.99,44.00,16.60,2970000000.0,9.04,5550000000.0,1.19,19.77,2430000000.0,0.69,0.20,88.30,7250000.0,4.37,2.46,6490000.0,N/A
82,N/A,N/A,cam,N/A,N/A,N/A,N/A,N/A,53.84,17.53,1.17,2.51,6.62,13.49,6.49,4.60,49.32,10920000000.0,12020000000.0,24.12,2.20,1.26,7.33,1.26,2920000000.0,7.33,203000000.0,3.26,16.90,17.60,1950000000.0,10.20,2830000000.0,2.27,23.21,1150000000.0,0.09,0.74,93.00,3570000.0,1.78,1.88,3710000.0,N/A
83,N/A,N/A,camp,N/A,N/A,N/A,N/A,N/A,75.95,35.67,2.22,3.40,6.43,11.61,7.12,11.03,7.73,638960000.0,533280000.0,13.66,0.75,1.91,13.12,1.91,87400000.0,13.12,17950000.0,0.49,3.60,18.10,223340000.0,6.15,138100000.0,6.51,5.01,45060000.0,1.70,3.72,69.00,3470000.0,8.21,9.92,3610000.0,N/A
84,N/A,N/A,cat,N/A,N/A,N/A,N/A,N/A,235.14,12.11,0.68,2.16,5.87,9.50,3.65,16.98,83.68,34240000000.0,67110000000.0,16.80,1.89,1.34,8.56,1.34,14790000000.0,8.56,2950000000.0,4.86,63.80,19.10,4810000000.0,8.26,37550000000.0,1.37,27.30,6740000000.0,1.16,0.23,66.60,47660000.0,7.48,7.91,49110000.0,N/A
85,N/A,N/A,cb,N/A,N/A,N/A,N/A,N/A,26.03,13.52,1.89,1.23,14.24,18.12,2.21,9.15,58.09,25130000000.0,40680000000.0,11.23,1.14,2.14,11.26,2.14,7110000000.0,11.26,2710000000.0,8.19,32.70,7.20,2850000000.0,8.78,7580000000.0,0.40,89.88,3970000000.0,1.01,0.30,86.20,3460000.0,2.44,1.53,2990000.0,N/A
86,N/A,N/A,cbg,N/A,N/A,N/A,N/A,N/A,143.46,16.49,0.96,3.73,5.75,8.92,6.49,24.39,29.94,9360000000.0,12710000000.0,12.07,1.02,1.28,10.85,1.28,999700000.0,10.85,571370000.0,1.70,39.20,19.20,504240000.0,1.52,3710000000.0,1.10,7.65,735710000.0,1.38,1.23,95.20,4080000.0,2.43,1.43,4150000.0000000005,N/A
87,N/A,N/A,cbs,N/A,N/A,N/A,N/A,N/A,149.67,14.13,1.57,3.66,11.46,20.52,7.35,23.19,27.58,20760000000.0,30070000000.0,N/A,N/A,2.20,9.78,2.20,13810000000.0,9.78,1550000000.0,3.12,74.00,3.30,133000000.0,0.28,8800000000.0,1.62,12.40,1610000000.0,2.02,2.86,86.50,0.00,0.00,N/A,100.00,N/A
88,N/A,N/A,cce,N/A,N/A,N/A,N/A,N/A,397.72,19.77,1.44,10.43,7.56,13.02,6.87,40.34,31.19,10400000000.0,14310000000.0,17.16,14.94,1.96,11.65,1.96,2970000000.0,11.65,552000000.0,2.32,29.40,14.70,196000000.0,0.86,4000000000.0,0.94,4.44,1180000000.0,1.14,3.21,77.50,7230000.0,2.96,3.13,7910000.0,N/A
89,N/A,N/A,cci,N/A,N/A,N/A,N/A,N/A,167.69,17.58,6.98,3.66,40.26,27.85,3.09,7.99,11.40,26110000000.0,38430000000.0,16.75,1.84,10.13,18.32,10.13,2340000000.0,18.32,511800000.0,4.45,3.00,2.80,184120000.0,0.55,12140000000.0,1.24,21.74,1770000000.0,0.30,0.73,96.20,9600000.0,4.28,2.90,10160000.0,N/A
90,N/A,N/A,ccl,N/A,N/A,N/A,N/A,N/A,36.97,21.38,2.41,1.59,11.18,12.72,3.17,7.31,20.22,37320000000.0,45270000000.0,12.36,0.81,2.88,12.56,2.88,5480000000.0,12.56,1760000000.0,2.26,N/A,0.20,1400000000.0,1.81,8790000000.0,0.35,30.79,N/A,0.52,27.07,36.60,9560000.0,2.20,2.12,10250000.0,N/A
91,N/A,N/A,celg,N/A,N/A,N/A,N/A,N/A,288.30,53.96,9.22,15.08,18.85,28.35,7.11,29.70,11.03,84450000000.0,88880000000.0,18.89,0.92,10.13,31.01,10.13,7280000000.0,31.01,1650000000.0,1.99,N/A,17.80,7530000000.0,9.58,15500000000.0,3.23,6.83,2260000000.0,1.91,0.27,81.50,8320000.0,1.83,1.05,9200000.0,N/A
92,N/A,N/A,cern,N/A,N/A,N/A,N/A,N/A,16.43,37.86,4.70,5.03,12.70,20.36,10.53,14.41,11.95,19170000000.0,19460000000.0,23.84,1.67,4.74,17.17,4.74,2800000000.0,17.17,521130000.0,1.48,14.20,35.70,464540000.0,1.36,630670000.0,2.15,11.22,817880000.0,1.14,11.05,82.20,18030000.0,9.01,5.90,17840000.0,N/A
93,N/A,N/A,cf,N/A,N/A,N/A,N/A,N/A,125.18,7.68,1.60,1.71,20.68,33.10,7.44,20.36,18.47,6810000000.0,11700000000.0,7.59,1.00,2.65,6.15,2.65,1780000000.0,6.15,911700000.0,3.81,30.60,0.70,943200000.0,4.05,5590000000.0,1.39,17.64,1300000000.0,1.14,5.63,94.60,8810000.0,3.63,4.13,8860000.0,N/A
94,N/A,N/A,chk,N/A,N/A,N/A,N/A,N/A,255.08,N/A,0.15,1.67,86.34,7.35,2.04,106.25,20.77,2200000000.0,12840000000.0,N/A,0.40,0.94,3.54,0.94,7080000000.0,3.54,12040000000.0,33.88,N/A,49.30,1760000000.0,2.65,11600000000.0,0.79,1.84,1880000000.0,1.17,0.92,96.30,241810000.0,9.87,47.16,246290000.0,N/A
95,N/A,N/A,chrw,N/A,N/A,N/A,N/A,N/A,91.04,18.75,0.67,8.11,3.64,6.10,16.62,46.14,93.61,9160000000.0,10030000000.0,16.95,1.91,0.74,11.33,0.74,2009999999.9999998,11.33,496060000.0,3.40,11.60,1.40,143090000.0,1.00,1030000000.0,1.17,7.85,672550000.0,0.49,1.41,88.40,7350000.0,3.17,5.05,6450000.0,N/A
96,N/A,N/A,ci,N/A,N/A,N/A,N/A,N/A,43.91,17.04,0.97,3.06,5.73,9.82,4.06,18.35,145.13,35870000000.0,38770000000.0,14.94,1.50,1.04,9.72,1.04,13580000000.0,9.72,2140000000.0,8.17,2.40,7.20,2480000000.0,9.61,5200000000.0,0.99,45.73,2240000000.0,0.32,2.74,88.50,2460000.0,1.79,0.98,1830000.0,N/A
97,N/A,N/A,cim,N/A,N/A,N/A,N/A,N/A,383.45,17.87,6.48,0.73,40.70,75.19,0.85,4.22,1.71,2190000000.0,14160000000.0,5.41,1.11,40.74,N/A,40.74,540240000.0,N/A,141460000.0,0.65,N/A,N/A,52330000.0,0.28,11960000000.0,0.67,16.38,281340000.0,0.65,4.70,59.70,4550000.0,2.13,2.42,3520000.0,N/A
98,N/A,N/A,cinf,N/A,N/A,N/A,N/A,N/A,13.56,13.97,1.76,1.42,12.55,18.56,3.20,10.14,31.36,8920000000.0,9420000000.0,19.80,4.98,1.83,9.36,1.83,788000000.0,9.36,645000000.0,3.90,4.90,0.20,494000000.0,3.02,861000000.0,1.22,38.77,995000000.0,1.07,13.79,63.70,3250000.0,4.96,2.18,3130000.0,N/A
99,N/A,N/A,cl,N/A,N/A,N/A,N/A,N/A,150.85,23.12,3.53,226.37,15.10,24.69,18.53,225.60,18.06,56010000000.0,63050000000.0,21.10,3.45,3.86,14.09,3.86,10110000000.0,14.09,2470000000.0,2.70,33.90,8.70,1590000000.0,1.77,6790000000.0,1.29,0.28,3010000000.0,0.89,0.31,74.90,10990000.0,3.49,1.32,10650000.0,N/A
100,N/A,N/A,cldx,N/A,N/A,N/A,N/A,N/A,N/A,N/A,200.50,3.25,N/A,480.72,25.66,45.28,0.06,1110000000.0,731170000.0,N/A,N/A,141.54,5.88,141.54,3590000.0,5.88,126330000.0,1.33,N/A,6.80,304610000.0,3.09,0.00,13.09,3.23,107360000.0,2.88,0.54,89.20,19330000.0,13.20,22.84,19410000.0,N/A
101,N/A,N/A,clf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.06,N/A,51.71,157.12,105.88,N/A,24.92,242410000.0,2740000000.0,N/A,0.09,0.72,16.91,0.72,451400000.0,16.91,7990000000.0,13.22,N/A,39.50,270200000.0,1.76,2800000000.0,1.61,17.36,195400000.0,0.94,11.38,N/A,58220000.0,14.38,40.19,58680000.0,N/A
