,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
127,N/A,N/A,fosl,N/A,N/A,N/A,N/A,N/A,91.72,4.97,0.42,1.60,9.22,14.00,12.86,34.01,66.61,1470000000.0,1900000000.0,8.60,1.34,0.58,3.47,0.58,2000000000.0,3.47,304380000.0,6.13,44.50,13.80,301570000.0,6.27,810510000.0,3.61,18.08,324460000.0,1.03,31.56,89.40,8970000.0,6.84,20.72,7500000.0,N/A
128,N/A,N/A,fslr,N/A,N/A,N/A,N/A,N/A,5.73,10.81,1.70,1.15,15.82,16.08,5.43,11.33,36.24,6180000000.0,4700000000.0,14.91,2.36,1.29,5.58,1.29,827100000.0,5.58,576560000.0,5.67,288.90,42.80,1810000000.0,17.93,308550000.0,3.63,53.40,513980000.0,2.68,26.64,57.20,4960000.0,1.80,6.85,5520000.0,N/A
129,N/A,N/A,fti,N/A,N/A,N/A,N/A,N/A,51.30,10.91,0.77,2.17,7.14,12.54,8.09,19.59,30.52,5380000000.0,6030000000.0,15.51,0.64,0.85,5.33,0.85,1940000000.0,5.33,506100000.0,2.16,51.70,21.80,711500000.0,3.12,1290000000.0,1.77,10.98,911300000.0,0.87,7.32,88.60,11810000.0,3.84,6.39,12040000.0,N/A
130,N/A,N/A,gd,N/A,N/A,N/A,N/A,N/A,31.80,14.17,1.26,3.76,9.06,13.05,7.65,24.75,98.38,39260000000.0,40380000000.0,13.04,1.39,1.26,8.66,1.26,5870000000.0,8.66,2940000000.0,8.77,5.30,3.10,3370000000.0,10.65,3410000000.0,1.16,33.90,2080000000.0,0.80,0.52,88.50,43.00,1.28,0.69,1870000.0,N/A
131,N/A,N/A,ges,N/A,N/A,N/A,N/A,N/A,0.65,16.85,0.64,1.44,3.92,6.41,5.66,8.47,26.49,1460000000.0,1050000000.0,15.95,2.41,0.47,4.78,0.47,867880000.0,4.78,87390000.0,1.03,40.10,11.70,402390000.0,4.80,6640000.0,3.21,11.96,223440000.0,0.69,30.45,89.90,10730000.0,10.95,26.46,9710000.0,N/A
132,N/A,N/A,gild,N/A,N/A,N/A,N/A,N/A,123.83,8.31,4.12,7.48,53.78,67.86,33.56,106.05,21.23,1.305e+11,1.3607e+11,7.51,0.52,4.33,6.06,4.33,21100000000.0,6.06,16910000000.0,10.89,68.40,37.30,15710000000.0,10.90,22220000000.0,2.77,12.02,18480000000.0,1.16,0.60,83.40,23730000.0,2.80,1.61,25250000.0,N/A
133,N/A,N/A,gis,N/A,N/A,N/A,N/A,N/A,147.49,22.56,1.90,6.85,8.60,16.95,8.00,23.55,28.81,32370000000.0,41060000000.0,17.77,3.45,2.38,11.84,2.38,5950000000.0,11.84,1490000000.0,2.42,53.00,6.10,649800000.0,1.10,8820000000.0,0.82,8.09,2840000000.0,0.68,0.32,71.70,10900000.0,3.05,1.82,11070000.0,N/A
134,N/A,N/A,glw,N/A,N/A,N/A,N/A,N/A,20.01,10.91,2.14,1.12,22.65,18.47,3.65,10.03,7.43,19740000000.0,18830000000.0,11.51,7.64,2.03,6.50,2.03,4050000000.0,6.50,2010000000.0,1.53,79.10,10.60,5010000000.0,4.24,4019999999.9999995,4.71,14.95,2960000000.0,1.32,0.19,80.20,55030000.0,4.65,4.35,63560000.0,N/A
135,N/A,N/A,gm,N/A,N/A,N/A,N/A,N/A,163.38,10.79,0.30,1.36,3.55,4.47,2.33,13.72,95.19,45380000000.0,81290000000.0,5.37,0.28,0.53,6.05,0.53,13810000000.0,6.05,4530000000.0,2.73,7.60,1.00,21860000000.0,14.05,57400000000.0,1.13,21.65,12630000000.0,1.46,4.66,76.50,27610000.0,2.51,1.72,36330000.0,N/A
136,N/A,N/A,gmcr,N/A,N/A,N/A,N/A,N/A,16.64,28.59,2.96,5.08,11.02,17.70,11.36,16.12,28.74,13400000000.0,13770000000.0,24.80,1.99,3.05,12.92,3.05,1610000000.0,12.92,498270000.0,3.14,32.90,13.30,59330000.0,0.40,451500000.0,2.52,17.68,754860000.0,0.93,25.34,67.60,8029999.999999999,1.30,17.42,11540000.0,N/A
137,N/A,N/A,gme,N/A,N/A,N/A,N/A,N/A,18.07,6.80,0.29,1.38,4.29,7.18,8.83,20.21,87.04,2640000000.0,2830000000.0,6.24,0.69,0.30,3.45,0.30,2780000000.0,3.45,399100000.0,3.71,0.90,3.60,186200000.0,1.78,350900000.0,1.05,18.51,632000000.0,1.22,1.88,136.40,46900000.0,15.96,52.88,48090000.0,N/A
138,N/A,N/A,gpc,N/A,N/A,N/A,N/A,N/A,19.71,17.04,0.77,3.74,4.60,7.34,8.55,21.26,101.27,11920000000.0,12230000000.0,16.13,3.63,0.79,9.58,0.79,4590000000.0,9.58,709960000.0,4.64,1.30,1.60,199290000.0,1.32,625000000.0,1.49,20.95,1100000000.0,1.18,2.72,73.70,4610000.0,7.77,3.10,4510000.0,N/A
139,N/A,N/A,gt,N/A,N/A,N/A,N/A,N/A,121.16,2.72,0.44,1.79,16.83,10.06,6.16,75.22,61.76,7510000000.0,11720000000.0,7.47,0.81,0.70,4.92,0.70,4230000000.0,4.92,2820000000.0,10.26,68.30,10.20,1690000000.0,6.29,6000000000.0,1.66,15.41,1910000000.0,2.26,0.27,88.80,15250000.0,5.56,5.78,13290000.0,N/A
140,N/A,N/A,gtn,N/A,N/A,N/A,N/A,N/A,296.18,15.44,1.55,2.26,9.17,30.31,5.70,18.17,9.34,961940000.0,2100000000.0,7.41,3.78,3.46,9.08,3.46,222140000.0,9.08,55570000.0,0.85,52.60,14.70,81170000.0,1.13,1240000000.0,2.49,5.82,128530000.0,3.59,5.84,84.50,1980000.0,3.08,4.70,1950000.0,N/A
141,N/A,N/A,gww,N/A,N/A,N/A,N/A,N/A,74.13,16.09,1.17,4.96,7.72,14.04,15.77,26.58,150.21,11480000000.0,13270000000.0,15.72,3.75,1.33,8.33,1.33,4310000000.0,8.33,764830000.0,11.36,16.60,1.10,258150000.0,4.11,1810000000.0,2.00,37.61,1030000000.0,0.71,13.10,86.30,10500000.0,14.44,17.16,9990000.0,N/A
142,N/A,N/A,har,N/A,N/A,N/A,N/A,N/A,44.65,15.52,0.85,2.29,5.46,8.73,7.03,16.44,89.75,5360000000.0,6030000000.0,9.82,0.80,0.95,8.17,0.95,1820000000.0,8.17,346810000.0,4.86,5.00,14.10,410860000.0,5.78,1060000000.0,1.38,33.11,386600000.0,0.71,0.56,101.10,2780000.0,3.96,4.38,2870000.0,N/A
143,N/A,N/A,has,N/A,N/A,N/A,N/A,N/A,105.67,19.83,2.05,5.69,10.42,15.49,9.12,28.23,34.19,8690000000.0,9880000000.0,17.70,1.93,2.31,12.02,2.31,2580000000.0,12.02,445990000.0,3.52,15.00,0.10,574130000.0,4.61,1670000000.0,2.65,12.37,497140000.0,1.23,10.03,87.60,10040000.0,6.43,10.22,8700000.0,N/A
144,N/A,N/A,hcn,N/A,N/A,N/A,N/A,N/A,74.94,25.28,6.61,1.75,25.90,28.27,2.47,6.55,10.61,22830000000.0,35490000000.0,13.96,2.93,9.78,19.36,9.78,1900000000.0,19.36,874050000.0,2.55,30.00,14.10,292040000.0,0.83,11470000000.0,2.02,38.64,1320000000.0,0.02,0.31,92.60,10720000.0,4.45,3.58,10700000.0,N/A
145,N/A,N/A,hcp,N/A,N/A,N/A,N/A,N/A,106.62,70.08,6.86,1.67,9.53,52.70,3.81,2.31,5.38,16260000000.0,28320000000.0,11.00,3.61,11.42,15.80,11.42,2190000000.0,15.80,234760000.0,0.50,53.40,10.30,120500000.0,0.26,11150000000.0,16.99,21.89,1230000000.0,0.03,0.20,89.70,17160000.0,4.48,4.28,16469999.999999998,N/A
146,N/A,N/A,hd,N/A,N/A,N/A,N/A,N/A,273.82,21.85,1.75,19.93,7.98,13.05,16.51,78.03,67.21,1.4766e+11,1.6966e+11,18.84,1.56,1.96,12.91,1.96,28950000000.0,12.91,6920000000.0,5.33,12.20,6.40,3040000000.0,2.40,20860000000.0,1.17,6.01,9360000000.0,0.96,0.15,73.40,13940000.0,2.98,1.08,18490000.0,N/A
147,N/A,N/A,hig,N/A,N/A,N/A,N/A,N/A,32.09,9.96,0.87,0.88,8.92,12.22,0.59,8.62,43.72,15510000000.0,17670000000.0,9.54,1.39,0.96,6.75,0.96,7810000000.0,6.75,1600000000.0,3.80,1.80,4.20,4190000000.0,10.22,5840000000.0,3.78,44.26,2990000000.0,1.06,0.18,92.50,4640000.0,1.85,1.10,4520000.0,N/A
148,N/A,N/A,hog,N/A,N/A,N/A,N/A,N/A,270.98,10.67,1.38,3.23,13.04,19.79,7.17,26.85,28.82,7660000000.0,14200000000.0,9.78,1.07,2.36,10.29,2.36,2440000000.0,10.29,784490000.0,3.74,6.50,1.20,1010000000.0,4.96,6940000000.0,1.73,12.57,1200000000.0,0.70,0.50,82.60,21610000.0,9.73,10.29,23530000.0,N/A
149,N/A,N/A,hon,N/A,N/A,N/A,N/A,N/A,58.17,16.86,1.93,4.22,11.66,16.30,8.53,24.68,49.65,74170000000.0,75250000000.0,14.63,1.71,1.94,10.42,1.94,11350000000.0,10.42,4530000000.0,5.71,8.30,4.90,10330000000.0,13.41,10570000000.0,1.44,23.04,5260000000.0,0.98,0.17,78.60,4560000.0,1.38,0.64,4620000.0,N/A
150,N/A,N/A,hot,N/A,N/A,N/A,N/A,N/A,188.28,18.43,3.22,8.01,17.93,27.45,6.42,33.37,18.20,10120000000.0,11290000000.0,18.18,2.26,3.63,10.29,3.63,4280000000.0,10.29,568000000.0,3.26,19.30,7.30,1070000000.0,6.31,2360000000.0,0.96,7.39,992000000.0,1.85,6.38,87.70,3000000.0,1.21,1.76,1820000.0,N/A
151,N/A,N/A,hrl,N/A,N/A,N/A,N/A,N/A,10.87,29.75,2.19,5.08,7.41,11.71,11.69,18.05,35.08,19970000000.0,20410000000.0,24.14,1.73,2.20,16.76,2.20,1810000000.0,16.76,686090000.0,2.54,9.30,5.60,347240000.0,1.31,435000000.0,1.70,15.13,991990000.0,0.89,48.89,33.70,7580000.0,5.25,5.64,8119999.999999999,N/A
152,N/A,N/A,hrs,N/A,N/A,N/A,N/A,N/A,146.72,26.30,1.83,3.02,6.22,16.83,6.94,13.58,51.97,10400000000.0,15250000000.0,13.46,7.71,2.66,12.38,2.66,1720000000.0,12.38,357000000.0,3.18,18.40,56.80,320000000.0,2.57,5080000000.0,1.63,27.88,838000000.0,1.24,0.30,85.20,3250000.0,3.41,2.64,2470000.0,N/A
153,N/A,N/A,hst,N/A,N/A,N/A,N/A,N/A,59.95,14.88,1.79,1.36,12.04,12.49,3.49,9.03,7.16,9640000000.0,13750000000.0,7.82,2.59,2.55,9.92,2.55,3320000000.0,9.92,649000000.0,0.86,41.00,0.10,265000000.0,0.35,4280000000.0000005,1.75,9.43,1200000000.0,1.18,1.72,103.10,42320000.0,5.13,7.51,43450000.0,N/A
154,N/A,N/A,hum,N/A,N/A,N/A,N/A,N/A,39.88,18.93,0.46,2.35,2.48,4.56,6.24,12.89,354.70,24420000000.0,19420000000.0,18.85,1.76,0.37,7.20,0.37,10330000000.0,7.20,1320000000.0,8.70,8.30,9.20,9020000000.0,60.85,4130000000.0,2.04,69.85,724000000.0,0.83,0.22,96.30,2200000.0,2.61,1.47,2330000.0,N/A
155,N/A,N/A,ibm,N/A,N/A,N/A,N/A,N/A,294.85,8.48,1.48,9.35,16.96,20.88,9.61,103.55,85.16,1.1822e+11,1.5437e+11,7.68,1.18,1.84,7.21,1.84,46410000000.0,7.21,14420000000.0,14.37,288.90,13.90,9570000000.0,9.86,39660000000.0,1.25,13.70,17790000000.0,0.63,0.05,59.90,21590000.0,4.86,2.19,23350000.0,N/A
156,N/A,N/A,ice,N/A,N/A,N/A,N/A,N/A,28.20,22.85,8.78,2.22,36.53,55.07,1.69,9.65,29.40,28830000000.0,31440000000.0,17.11,1.16,9.64,14.84,9.64,4120000000.0,14.84,1190000000.0,10.63,48.50,9.50,708000000.0,6.15,3500000000.0,0.99,112.18,1430000000.0,0.94,1.55,90.00,1350000.0,1.43,1.23,1240000.0,N/A
157,N/A,N/A,iff,N/A,N/A,N/A,N/A,N/A,74.92,21.13,2.97,5.73,14.04,19.71,10.22,26.56,37.99,8970000000.0,10030000000.0,19.68,2.87,3.27,14.87,3.27,1360000000.0,14.87,428110000.0,5.29,0.90,1.10,276680000.0,3.45,1200000000.0,2.38,19.81,495580000.0,1.22,1.59,84.20,3240000.0,7.56,4.09,3430000.0,N/A
158,N/A,N/A,ip,N/A,N/A,N/A,N/A,N/A,356.06,16.76,0.65,3.40,3.91,10.71,4.99,15.31,54.53,14630000000.0,24740000000.0,9.21,0.79,1.08,6.55,1.08,7360000000.0,6.55,903000000.0,2.11,38.00,5.90,5950000000.0,14.35,15920000000.0,1.34,10.49,2730000000.0,1.43,0.66,86.70,6900000.0,2.11,1.75,6750000.0,N/A
