,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference,Status
0,2004-01-30 19:01:02,1075518062.0,a,0.407,36.65,0.0,1144.050049,0.0,0.0,underperform
1,2004-12-13 21:37:34,1103002654.0,a,0.323,23.84,-34.9522510232,1188.0,3.84161086645,-38.7938618896,underperform
2,2005-01-22 05:17:19,1106399839.0,a,0.322,21.8,-40.5184174625,1184.630005,3.54704377098,-44.0654612335,underperform
3,2006-01-09 02:35:16,1136802916.0,a,0.0,34.65,-5.45702592087,1285.449951,12.3595905724,-17.8166164933,underperform
4,2006-08-19 10:42:01,1156009321.0,a,0.396,31.8,-13.2332878581,1295.430054,13.2319390338,-26.4652268919,underperform
5,2007-04-12 05:07:51,1176379671.0,a,0.411,34.62,-5.53888130969,1444.609985,26.27157232,-31.8104536297,underperform
6,2008-02-14 04:44:34,1202993074.0,a,0.645,32.68,-10.8321964529,1339.130005,17.0516977094,-27.8838941624,underperform
7,2008-04-26 04:49:23,1209210563.0,a,0.67,31.53,-13.9699863574,1379.930054,20.6179795374,-34.5879658948,underperform
8,2008-12-06 19:21:33,1228620093.0,a,0.83,17.26,-52.9058663029,870.73999,-23.8896942698,-29.016172033,underperform
9,2013-09-06 06:09:52,1378472992.0,a,56.39,47.68,30.0954979536,1639.77002,43.3302696358,-13.2347716822,underperform
10,2004-12-05 00:36:42,1102235802.0,aa,0.53,32.86,0.0,1190.329956,0.0,0.0,underperform
11,2005-01-13 07:18:32,1105629512.0,aa,0.457,29.43,-10.4382227632,1190.25,-0.00671712911172,-10.4315056341,underperform
12,2005-02-07 03:48:37,1107776917.0,aa,0.457,29.37,-10.6208155813,1203.030029,1.06693719132,-11.6877527726,underperform
13,2005-05-22 08:48:23,1116776903.0,aa,0.543,27.45,-16.4637857578,1191.079956,0.0630077396792,-16.5267934974,underperform
14,2007-01-25 19:09:37,1169780977.0,aa,0.494,31.46,-4.26049908704,1422.949951,19.5424801188,-23.8029792059,underperform
15,2007-02-23 09:03:42,1172250222.0,aa,0.494,34.75,5.7516737675,1459.680054,22.6281878098,-16.8765140423,underperform
16,2007-06-22 06:39:12,1182519552.0,aa,0.503,40.34,22.7632379793,1533.699951,28.8466230115,-6.08338503217,underperform
17,2007-10-11 20:57:59,1192161479.0,aa,0.47,38.08,15.8855751674,1552.579956,30.4327382651,-14.5471630977,underperform
18,2008-12-05 01:03:15,1228467795.0,aa,0.672,8.06,-75.4716981132,848.809998,-28.6912008119,-46.7804973013,underperform
19,2008-12-06 09:33:46,1228584826.0,aa,0.672,8.15,-75.1978088862,870.73999,-26.8488551757,-48.3489537104,underperform
20,2008-12-18 10:54:07,1229626447.0,aa,0.672,10.35,-68.5027388923,868.570007,-27.031156141,-41.4715827512,underperform
21,2011-09-03 09:21:23,1315066883.0,aa,48.26,12.04,-63.3597078515,1218.890015,2.39933968359,-65.7590475351,underperform
22,2011-11-05 21:29:24,1320553764.0,aa,50.93,10.93,-66.7376749848,1237.900024,3.99637661475,-70.7340515995,underperform
23,2012-01-02 19:42:06,1325562126.0,aa,50.93,8.65,-73.6762020694,1257.599976,5.65137587783,-79.3275779472,underperform
24,2012-03-09 07:34:06,1331307246.0,aa,54.5,9.77,-70.2678027998,1343.359985,12.8561016404,-83.1239044402,underperform
25,2012-03-19 02:24:48,1332149088.0,aa,54.5,10.54,-67.9245283019,1404.170044,17.9647741302,-85.8893024321,underperform
26,2012-05-19 11:51:52,1337453512.0,aa,55.28,8.43,-74.3457090688,1324.800049,11.2968754858,-85.6425845546,underperform
27,2012-07-29 16:51:57,1343605917.0,aa,56.42,8.45,-74.2848447961,1360.02002,14.2557165049,-88.540561301,underperform
28,2013-04-26 20:55:15,1367034915.0,aa,53.21,8.27,-74.8326232502,1578.780029,32.6338147706,-107.466438021,underperform
29,2013-09-01 04:25:11,1378034711.0,aa,52.71,7.7,-76.5672550213,1638.170044,37.6231889102,-114.190443931,underperform
30,2003-12-07 10:36:10,1070822170.0,aapl,0.072,20.85,0.0,1069.719971,0.0,0.0,underperform
31,2004-12-04 14:16:51,1102198611.0,aapl,0.0,62.68,200.623501199,1191.369995,11.3721373161,189.251363883,outperform
32,2005-02-04 03:07:08,1107515228.0,aapl,0.0,77.81,273.189448441,1189.410034,11.18891544,262.000533001,outperform
33,2005-12-17 11:55:53,1134849353.0,aapl,0.0,71.11,241.055155875,1272.73999,18.9788004809,222.076355394,outperform
34,2013-08-11 02:30:32,1376213432.0,aapl,13.75,454.45,2079.61630695,1697.47998,58.6845180064,2020.93178895,outperform
35,2003-10-26 16:06:32,1067213192.0,abc,0.592,57.01,0.0,1033.77002,0.0,0.0,underperform
36,2004-05-16 19:24:15,1084760655.0,abc,0.412,58.97,3.4379933345,1096.439941,6.06226914957,-2.62427581507,underperform
37,2005-01-08 07:45:42,1105199142.0,abc,0.332,57.9,1.56112962638,1183.73999,14.5070922061,-12.9459625797,underperform
38,2005-05-26 01:50:44,1117097444.0,abc,0.23,65.93,15.6463778285,1193.859985,15.4860328606,0.160344967874,outperform
39,2005-12-04 08:46:13,1133714773.0,abc,0.223,79.46,39.3790563059,1264.670044,22.3357245357,17.0433317702,outperform
40,2007-04-05 16:11:07,1175814667.0,abc,0.308,53.94,-5.3850201719,1424.550049,37.8014472697,-43.1864674416,underperform
41,2011-07-08 00:04:15,1310108655.0,abc,42.86,43.05,-24.4869321172,1337.880005,29.4175666847,-53.9044988019,underperform
42,2013-04-25 01:02:00,1366876920.0,abc,59.73,55.82,-2.08735309595,1562.5,51.1458032029,-53.2331562989,underperform
43,2004-09-20 13:31:02,1095712262.0,abt,0.543,42.92,0.0,1128.550049,0.0,0.0,underperform
44,2004-10-23 22:48:08,1098596888.0,abt,0.543,40.86,-4.79962721342,1103.660034,-2.20548614765,-2.59414106577,underperform
45,2005-02-28 19:21:54,1109647314.0,abt,0.508,45.61,6.26747437092,1211.369995,7.33861525002,-1.0711408791,underperform
46,2006-06-17 18:01:01,1150592461.0,abt,0.436,42.78,-0.326188257223,1230.040039,8.99295428589,-9.31914254312,underperform
47,2007-01-13 21:19:42,1168751982.0,abt,0.604,50.45,17.5442684063,1414.849976,25.3688285472,-7.82456014085,underperform
48,2007-03-23 02:47:40,1174643260.0,abt,0.883,54.5,26.9804287046,1410.939941,25.0223631863,1.95806551826,outperform
49,2007-06-03 02:36:35,1180863395.0,abt,0.871,56.3,31.174277726,1530.619995,35.627125829,-4.45284810296,underperform
50,2008-04-28 03:46:55,1209379615.0,abt,0.687,51.28,19.4780987884,1397.839966,23.8615839181,-4.38348512967,underperform
51,2008-10-23 21:57:42,1224824262.0,abt,0.732,55.02,28.1919850885,985.400024,-12.6844197231,40.8764048116,outperform
52,2008-12-25 05:30:56,1230211856.0,abt,0.546,52.65,22.670083877,871.630005,-22.7654984577,45.4355823347,outperform
53,2011-08-05 04:11:33,1312542693.0,abt,76.17,48.77,13.6300093197,1254.050049,11.1204638298,2.50954548989,outperform
54,2011-09-02 09:24:27,1314980667.0,abt,68.83,51.94,21.0158434296,1212.920044,7.47596396587,13.5398794638,outperform
55,2012-01-01 23:13:40,1325488420.0,abt,67.73,56.23,31.0111835974,1263.02002,11.9152864438,19.0958971536,outperform
56,2012-03-02 20:56:30,1330750590.0,abt,62.85,57.39,33.7138863001,1372.180054,21.5878777566,12.1260085435,outperform
57,2012-03-30 05:44:15,1333111455.0,abt,62.85,60.98,42.0782851817,1412.52002,25.1623728386,16.9159123431,outperform
58,2013-08-18 07:12:45,1376835165.0,abt,35.38,34.97,-18.522833178,1661.319946,47.2083535393,-65.7311867173,underperform
